status,deadline,venue,kci_status,field,issue_or_publication,fit,source_url,notes
확정,2026-08-05,치안정책연구,KCI 등재,경찰행정·치안정책,제40권 제3호 통권 75호 발간일 2026-09-30,치안정책·공공안전·안보·외사,https://psi.police.ac.kr/police/board/view.do?bbsId=BBSMSTR_000000000159&menuNo=116001000000&nttId=159208&pageIndex=1,"공모일정 2026년 7월 1일~8월 5일 24:00"
확정,2026-08-07,한국공안행정학회보,KCI 등재,행정·공공안전·치안,제35권 제3호 발간일 2026-09-30,안보·군사 주제의 공공안전/치안행정 전환,https://ka-pc.jams.or.kr/co/com/EgovMenu.kci?notiSeq=000000053759&s_MenuId=MENU-000000000061000&s_url=%2Fmobile%2Fpo%2Fcommunity%2Fnotice%2FnoticeView.kci,"제35권 제3호 원고접수마감 2026년 8월 7일"
확정,2026-08-10,지방행정연구,KCI 등재,지방행정,제3호 발간일 2026-09-30,지방행정·지방재정·지역정책,https://krila.re.kr/editor.php,"제3호 마감 8월 10일, 수시 접수 가능"
확정,2026-08-10,민주주의와 인권,KCI 등재,민주주의·인권·평화,제26권 제3호 발행일 2026-09-30,시민권·대상집단·정책피드백/정치사회,https://cnu518.jams.or.kr/co/com/EgovMenu.kci?notiSeq=000000053903&s_MenuId=MENU-000000000061000&s_url=%2Fpo%2Fcommunity%2Fnotice%2FnoticeView.kci,"원고제출 2026년 8월 10일 오전 9시"
확정,2026-08-31,국방정책연구,KCI 등재,국방·안보정책,가을호 발간일 2026-10-15,초급간부·군인사·민군관계·국방정책,https://www.kida.re.kr/frt/contents/frtContents.do?depth=4&sidx=461,"원고 상시 접수, 가을호 마감 8월 31일"
확정,2026-08-31,한국지방자치학회보,KCI 등재,지방자치·지방정치,제3호 추정,지방자치·지방정치·의회,https://www.kalgs.or.kr/,"홈페이지에 원고접수마감 매년 2·5·8·11월 말일로 안내"
확정,2026-08-23,오토피아,KCI 등재,정치·사회·대안사회,제41권 제2호 발간일 2026-10-31,정책담론·시민사회·대안사회 이론,https://kihs.jams.or.kr/co/com/EgovMenu.kci?notiSeq=000000053621&s_MenuId=MENU-000000000061000&s_url=%2Fpo%2Fcommunity%2Fnotice%2FnoticeView.kci,"접수마감 2026년 8월 23일 23:59"
확정,2026-08-31,기억과 전망,KCI 등재,민주주의·사회운동·시민사회,통권 제55호 발간일 2026-11-10,정책피드백·시민권·대상집단/사회운동,https://www.history.go.kr/board/boardDetail.do?itemId=000000056880&itemIndex=3&menuId=000000000424&totalCount=8486,"제55호 수록 논문 제출기한 2026년 8월 31일"
확정,2026-08-31,한국과 국제사회,KCI 등재,복합학·국제사회·행정·군사,제10권 제5호 발간일 2026-10-31,행정·군사·외교·국방 융합 주제,https://kips.jams.or.kr/co/com/EgovMenu.kci?notiSeq=000000053412&s_MenuId=MENU-000000000061000&s_url=%2Fpo%2Fcommunity%2Fnotice%2FnoticeView.kci,"연6회, 제5호 접수마감 8월 31일"
상시,상시접수,한국공공관리학보,KCI 등재,공공관리,제40권 제3호 발간시기 2026-09-30,PSM·성과관리·조직관리,https://www.kapm21.or.kr/about/business,"2026년 제40권 제3호 발간일 확인, 상시접수 관행은 기존 모집공고로 확인"
상시,상시모집,예산정책연구,KCI 등재,예산·재정·공공정책,연4회 3/20·6/20·9/20·12/20,국회회의록·재정·정책분석,https://www.nabo.go.kr/board/file/bulkDown.do?bid=27&idx=9302,"논문공모 상시 모집, 투고자격 석사과정 이상"
확정,2026-08-15,정책분석평가학회보,KCI 등재,정책분석·평가,제3호 발간일 2026-09-30,국회회의록 증거사용·정책평가,https://www.kapae.kr/article/,"논문기고 요령 기준 제3호 접수마감 8월 15일"
확정,2026-08-15,한국자치행정학보,KCI 등재,도시·지방행정,제3호 발간일 2026-09-30,지방정부·지방행정·지역정책,https://www.kalgas.or.kr/html/sub03_05.asp,"논문 수시 제출 가능, 제3호 발간일 9월 30일 기준 8월 15일까지"
확정,2026-08-15,한국지역정보화학회지,KCI 등재,지역정보화·전자정부·디지털정책,제29권 제3호 발간일 2026-09-30,전자정부·디지털정부·지역정보화·성과관리,https://www.karis.or.kr/journal,"발행규정 기준 9월호는 8월 15일까지 접수"
상시,상시접수,국정관리연구,KCI 등재,국정관리·거버넌스,연4회 3/31·6/30·9/30·12/31,거버넌스·국정관리,https://jgs.jams.or.kr/co/locale.kci?lang=,"JAMS 기본정보와 심사규정상 수시 접수 확인, 2026년 9월호 1차 모집 공지는 아직 미게시"
상시,상시접수,한국정책학회보,KCI 우수등재,정책학,발간일 3/31·6/30·9/30·12/31,정책학 일반·정책과정·정책이론,https://kaps.or.kr/?p=17,"기고논문은 수시 접수, 1주일 단위 초심 의뢰"
상시,상시접수,정부학연구,KCI 등재,행정학·정책학,발간일 4/30·8/30·12/30,정책·행정 일반/정부·국정,https://igs.korea.ac.kr/igs/book/thesis_guide.do,"수시 원고 취합, 학보 기고에서 발간까지 약 3개월"
상시,상시접수,한국행정연구,KCI 등재,행정학·정책학,발간일 3/31·6/30·9/30·12/31,행정·정책 일반/정부혁신·성과관리,https://kipa.jams.or.kr/co/com/EgovMenu.kci?s_MenuId=MENU-000000000011000&s_tabId=1&s_url=%2Fsj%2Fconfig%2FsoceHomePgConf%2Fguide%2FsjGuidEssiontialView.kci%3FguidDivCd%3D02,"기고논문 상시 접수, 온라인 논문투고시스템 사용"
상시,상시접수,한국조직학회보,KCI 등재,조직이론·행정조직,연4회 추정,PSM·관료적저항·조직관리,https://www.kaos.or.kr/sub_4_2_1.html,"논문의 투고·접수·심사는 온라인 투고시스템으로 연중 상시 진행"
상시,상시접수,한국군사학논집,KCI 등재,군사학·국방정책,발간일정 2/28·6/30·10/31,군사정책·군조직·안보,https://kjmac.jams.or.kr/co/com/EgovMenu.kci?notiSeq=000000051094&s_MenuId=MENU-000000000061000&s_url=%2Fpo%2Fcommunity%2Fnotice%2FnoticeView.kci,"2026-02-04 공지에서 투고마감일을 수시로 변경"
상시,상시접수,융합사회와 공공정책,KCI 등재,사회과학·공공정책,발간일 5/31·8/31·11/30·2/28,공공정책·국정관리·사회과학 융합,https://www.diss.or.kr/html/sub03-02.asp,"공공정책과 국정관리의 현 명칭, JAMS 통해 수시 접수"
상시,상시접수,Crisisonomy,KCI 등재,위기관리·행정학,월간,위기관리·재난안전·안보정책,https://www.cemtp.re.kr/html/sub0204.html,"한국위기관리논집의 현 명칭, 월간 발행 및 연중수시모집 관행 확인"
상시,7~8월 접수,형사정책연구,KCI 등재,형사정책·법무정책,가을호 접수기 2026년 7~8월,치안정책·공공안전·법무정책,https://kic.jams.or.kr/co/main/jmMain.kci,"JAMS 소개 기준 분기별 모집, 연구원 투고안내 기준 가을호 논문접수 7~8월"
상시,상시접수,정보화정책,KCI 등재,정보화·디지털정책,최단 발간예상 2026-12-31,디지털정부·AI정책·정보화정책,https://nia.jams.or.kr/co/com/EgovMenu.kci?notiSeq=000000050635&s_MenuId=MENU-000000000061000&s_url=%2Fmobile%2Fpo%2Fcommunity%2Fnotice%2FnoticeView.kci,"연중 상시 접수이나 2026-03-23 기준 가을호까지 분량 확보, 3월 이후 투고는 겨울호 예상"
보류,확인필요,지방정부연구,KCI 등재,지방행정·정책학,발간일 2/28·5/31·8/31·11/30,지방정부·거버넌스·지방정책,https://www.klog.or.kr/bbs/board.php?bo_table=notice&wr_id=386,"2026-06-04 제30권 제2호 기고논문 모집 공지는 확인되나 8월31일 이전 투고마감 본문 근거 추가 확인 필요"
보류,확인필요,한국경찰연구,KCI 등재,경찰행정,연4회,경찰행정·치안정책,https://kopsa.jams.or.kr/po/community/notice/noticeList.kci,"공개 JAMS 목록에서 2026년 제25권 제2호까지 확인, 제25권 제3호 공고는 미확인"
보류,확인필요,한국인사행정학회보,KCI 등재,행정학·인사행정,발간일 3/31·6/30·9/30·12/31,PSM·인사행정·실적제·공직가치,https://www.hrm.or.kr/article/guide,"발간일은 확인되나 2026년 9월호 투고마감 또는 상시접수 본문 근거 추가 확인 필요"
보류,확인필요,한국행정학보,KCI 우수등재,행정학,발간일 3/25·6/25·9/25·12/25,행정학 일반·정책학 일반,https://www.kci.go.kr/kciportal/po/search/poCitaView.kci?sereId=000298,"KCI 발간일은 확인되나 2026년 제60권 제3호 투고마감/수시접수 공식 공고 미확인"
보류,확인필요,한국군사학논총,KCI 등재,군사학,발간일 3/31·6/30·9/30·12/31,군사학·국방정책·민군관계,https://www.kci.go.kr/kciportal/po/search/poCitaView.kci?sereId=SER000004813,"KCI 발간일은 확인되나 제15집 제3권 투고마감 공식 공고 미확인"
보조,2026-07-15,인문사회과학연구,KCI 등재,인문사회과학 일반,69권 3호 발행일 2026-08-31,광범위 사회과학 대체투고처,https://www.kci.go.kr/kciportal/ss-mng/bbs/bbsFreeBoardList.kci?boardBean.boarSequ=000000000604,"KCI 자유게시판 최신 공고 제목 기준, 관심축 직접성은 낮아 보조 후보로 분류"
제외,2026-06-30,한국사회와 행정연구,KCI 등재,행정학,제37권 제2호 발간일 2026-08-31,서울행정학회 핵심지,https://sapa21.or.kr/board/notice/article/277285,"현재일 2026-07-09 기준 마감 지남"
제외,2026-05-15,한국정책연구,KCI 등재,정책학,제26권 제2호,경인행정학회 정책지,https://giapa.or.kr/notice/2026%EB%85%84-05%EC%9B%94/,"현재일 기준 마감 지남"
제외,2026-05-20,의정논총,KCI 등재,의회·입법,제21권 제1호,국회회의록·입법연구,https://www.klog.or.kr/bbs/tb.php/org_news/76,"현재일 기준 마감 지남"
제외,2026-04-30,한국군사,KCI 등재,군사학,2026년 상반기,군사학·국방정책,https://www.kima.re.kr/5.html?Table=ins_bbs1&mode=view&s=1&uid=825,"현재일 기준 상반기 공모 마감, 후반기 공고는 미확인"
