name,status,institution,field,freq,impact,annual,total,hits,href
Journal of East Asian Economic Integration (Journal of East Asian Economic Integration),KCI 등재,대외경제정책연구원,경제학,연4회,0.28,발행논문 : 연간 16건,총 논문 : 467건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002575&sereSearBean.sereId=001399
KDI정책연구,KCI 등재,한국개발연구원,경제학,연4회,0.08,발행논문 : 연간 15건,총 논문 : 386건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002605&sereSearBean.sereId=001088
공공경제,,한국재정학회,경제학,연2회,0,발행논문 : 연간 16건,총 논문 : 95건,공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000540&sereSearBean.sereId=000484
대외경제연구 (Journal of East Asian Economic Integration),KCI 등재,대외경제정책연구원,경제학,연4회,0.28,발행논문 : 연간 16건,총 논문 : 467건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002575&sereSearBean.sereId=001399
대외경제연구 (Journal of International Economic Studies),KCI 등재,대외경제정책연구원,경제학,연4회,0.28,발행논문 : 연간 16건,총 논문 : 467건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002575&sereSearBean.sereId=001399
재정정책논집,KCI 등재,한국재정정책학회,경제학,연4회,0.35,발행논문 : 연간 20건,총 논문 : 426건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001612&sereSearBean.sereId=002107
재정정책논집 (The Journal of Korean Public Policy),KCI 등재,한국재정정책학회,경제학,연4회,0.35,발행논문 : 연간 20건,총 논문 : 426건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001612&sereSearBean.sereId=002107
지역개발전략연구,,남서울대학교 상경연구소,경제학,연2회,0,발행논문 : 연간 8건,총 논문 : 23건,전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000006796&sereSearBean.sereId=SER000001404
한국지방재정논집 (The Korea Journal of Local Finance),KCI 등재,한국지방재정학회,경제학,연3회,1.33,발행논문 : 연간 16건,총 논문 : 391건,지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000925&sereSearBean.sereId=000857
한국지방재정논집 (The Korea Journal of Local Public Finance),KCI 등재,한국지방재정학회,경제학,연3회,1.33,발행논문 : 연간 16건,총 논문 : 391건,지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000925&sereSearBean.sereId=000857
국가전략연구 (National Strategy Research),,세종대학교 국가전략연구소,경제학일반,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,전략;국가전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010553&sereSearBean.sereId=SER000005442
경찰학논총,,원광대학교 경찰학연구소,경찰행정,연4회,0,발행논문 : 연간 28건,총 논문 : 417건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000006133&sereSearBean.sereId=SER000001331
경찰학논총 (The Police Science Journal),,원광대학교 경찰학연구소,경찰행정,연4회,0,발행논문 : 연간 28건,총 논문 : 417건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000006133&sereSearBean.sereId=SER000001331
범죄와 경찰정책학회보 (Journal of Crime and Police Policy),,범죄와 경찰정책학회,경찰행정,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,행정;정책;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000073187&sereSearBean.sereId=SER000006287
치안정책연구,KCI 등재,경찰대학 치안정책연구소,경찰행정,연4회,1.08,발행논문 : 연간 29건,총 논문 : 519건,행정;정책;경찰;치안,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007524&sereSearBean.sereId=SER000001509
치안정책연구 (The Journal of Police Policies),KCI 등재,경찰대학 치안정책연구소,경찰행정,연4회,1.08,발행논문 : 연간 29건,총 논문 : 519건,행정;정책;경찰;치안,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007524&sereSearBean.sereId=SER000001509
한국경찰발전연구학회보 (Korean Police Studies Review),KCI 등재,한국경찰연구학회,경찰행정,연4회,1.24,발행논문 : 연간 39건,총 논문 : 829건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000295&sereSearBean.sereId=001889
한국경찰연구 (Korean Police Studies Review),KCI 등재,한국경찰연구학회,경찰행정,연4회,1.24,발행논문 : 연간 39건,총 논문 : 829건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000295&sereSearBean.sereId=001889
한국경찰학회보 (The Korean Association of Police Science Review),KCI 등재,한국경찰학회,경찰행정,연6회,1.58,발행논문 : 연간 41건,"총 논문 : 1,138건",행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001821&sereSearBean.sereId=002121
한국민간경비학회보 (Journal of The Korean Society of Private Security),KCI 등재,한국민간경비학회,경찰행정,연4회,0.72,발행논문 : 연간 41건,총 논문 : 661건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002204&sereSearBean.sereId=SER000010424
한국범죄심리연구 (Korean Criminal Psychology Review),KCI 등재,한국범죄심리학회,경찰행정,연4회,0.93,발행논문 : 연간 34건,총 논문 : 709건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002174&sereSearBean.sereId=SER000010388
한국범죄학,KCI 등재,대한범죄학회,경찰행정,연3회,1.4,발행논문 : 연간 21건,총 논문 : 351건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002207&sereSearBean.sereId=SER000002223
한국범죄학 (Journal of Korean Criminological Association),KCI 등재,대한범죄학회,경찰행정,연3회,1.4,발행논문 : 연간 21건,총 논문 : 351건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002207&sereSearBean.sereId=SER000002223
한국치안행정논집 (Journal of Korean Public Police and Security Studies),KCI 등재,한국치안행정학회,경찰행정,연4회,1.53,발행논문 : 연간 42건,총 논문 : 801건,행정;경찰;치안,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002531&sereSearBean.sereId=SER000001384
한국해양경찰학회보 (Korean Association of Maritime Police Science),KCI 등재,한국해양경찰학회,경찰행정,연4회,0.45,발행논문 : 연간 26건,총 논문 : 419건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008671&sereSearBean.sereId=SER000003289
형사사법연구 (Korean Journal of Criminal Justice),,동국대학교 경찰범죄연구소,경찰행정,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,행정;경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000010017&sereSearBean.sereId=SER000003930
대학과 정책 (Journal of University Policies),,대학정책학회,고등교육,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000072292&sereSearBean.sereId=SER000006475
Capacity Building on Climate Change series vol.3,,고려대학교 세계지역연구소,과학기술/정보통신정책,연3회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008282&sereSearBean.sereId=SER000005521
이브릿지 (e-Bridge),,한국정보처리학회,과학기술/정보통신정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000930&sereSearBean.sereId=SER000004217
고등교육정책연구 (Journal of Higher Education Policy),,고려대학교 고등교육정책연구소,교육학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000006892&sereSearBean.sereId=SER000002491
공공 인적자원과 정책 (Public HRD & Policy),,국가공무원인재개발원,교육학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;공공,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008160&sereSearBean.sereId=SER000001810
교육행정학연구 (The Journal of Educational Administration),KCI 등재,한국교육행정학회,교육학,연5회,2.34,발행논문 : 연간 64건,"총 논문 : 1,604건",행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000708&sereSearBean.sereId=000511
방과후학교연구 (The Journal of After-School Research),KCI 등재,한국방과후학교학회,교육학,연3회,1.06,발행논문 : 연간 15건,총 논문 : 91건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000041568&sereSearBean.sereId=SER000004517
사이버교육연구 (Journal of Cyber Education),,한양사이버대학교 종합연구원,교육학,연2회,0,발행논문 : 연간 7건,총 논문 : 14건,사이버,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000005209&sereSearBean.sereId=SER000001844
정신전력연구 (Journal of Spiritual & Mental Force Enhancement),KCI 등재,국방정신전력원,교육학,연4회,0.74,발행논문 : 연간 23건,총 논문 : 185건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000063566&sereSearBean.sereId=SER000005143
통일교육연구 (Korean Journal of Reunification Education),KCI 등재,한국통일교육학회,교육학,연2회,1.15,발행논문 : 연간 9건,총 논문 : 66건,통일,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000059591&sereSearBean.sereId=SER000005569
평생학습사회,KCI 등재,한국방송통신대학교 원격교육혁신연구원,교육학,연4회,1.68,발행논문 : 연간 24건,총 논문 : 528건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000005328&sereSearBean.sereId=SER000015054
평생학습사회 (Journal of Lifelong Learning Society),KCI 등재,한국방송통신대학교 원격교육혁신연구원,교육학,연4회,1.68,발행논문 : 연간 24건,총 논문 : 528건,국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000005328&sereSearBean.sereId=SER000015054
학습전략중재연구 (Journal of Learning Strategy Intervention),,학습전략중재학회,교육학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008780&sereSearBean.sereId=SER000002652
지방교육경영 (The Journal of Local Education Management),KCI 등재,한국지방교육경영학회,교육학일반,연4회,0.98,발행논문 : 연간 23건,총 논문 : 138건,지방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001614&sereSearBean.sereId=SER000009851
교육정치학연구 (The Journal of Politics of Education),KCI 등재,한국교육정치학회,교육행정/경영학,연4회,1.97,발행논문 : 연간 21건,총 논문 : 677건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000886&sereSearBean.sereId=SER000009222
교육정치학연구 (The Politics of Education),KCI 등재,한국교육정치학회,교육행정/경영학,연4회,1.97,발행논문 : 연간 21건,총 논문 : 677건,행정,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000886&sereSearBean.sereId=SER000009222
마케팅논집(Journal of Marketing Studies) (Journal of Marketing Studies),KCI 등재,한국전략마케팅학회,국내마케팅,연4회,1.18,발행논문 : 연간 26건,총 논문 : 566건,전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000001927&sereSearBean.sereId=001657
유통물류연구 (Journal of Distribution and Logistics),KCI 등재,한국유통물류정책학회,국내물류/유통,연4회,1.14,발행논문 : 연간 18건,총 논문 : 235건,정책,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000061021&sereSearBean.sereId=SER000004898
JOSS(Journal of Space Security) (JOSS(Journal of Space Security)),,한국우주안보학회,국방/안보정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국방;안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000081503&sereSearBean.sereId=SER000006865
국가정보연구 (Journal of National Intelligence Studies),KCI 등재,한국국가정보학회,국방/안보정책,연2회,0.16,발행논문 : 연간 10건,총 논문 : 126건,정책;국방;안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000009296&sereSearBean.sereId=SER000003077
국방대학논총 (collection of writings korea national defense university),,국방대학교,국방/안보정책,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국방;안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000067430&sereSearBean.sereId=SER000005623
국방정책연구 (The Quarterly Journal of Defense Policy Studies),KCI 등재,한국국방연구원,국방/안보정책,연4회,1.69,발행논문 : 연간 28건,총 논문 : 607건,정책;국방;안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000002627&sereSearBean.sereId=001646
국제군사안보연구 (Journal of International Military Affairs and Security Studies),KCI 등재,대전대학교 국제군사안보연구원,국방/안보정책,연2회,0.5,발행논문 : 연간 11건,총 논문 : 54건,정책;국방;군사;안보;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003484&sereSearBean.sereId=SER000005789
군사과학논집 (Journal of Military Science Research),,공군사관학교 항공우주연구소,국방/안보정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국방;군사;안보;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000073505&sereSearBean.sereId=SER000006472
방산안보연구 (Journal of Defense Industrial Security),,명지대학교 방산안보연구소,국방/안보정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국방;안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000075043&sereSearBean.sereId=SER000006819
비상대비연구논총,,행정안전부,국방/안보정책,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,행정;정책;국방;안보;안전,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000064848&sereSearBean.sereId=SER000005307
안보군사학연구 (Journal of National Security and Military Science),KCI 등재,대전대학교 국제군사안보연구원,국방/안보정책,연2회,0.5,발행논문 : 연간 11건,총 논문 : 54건,정책;국방;군사;안보;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000003484&sereSearBean.sereId=SER000005789
영남국방논총 (Yeungnam National Defense Review),,영남대학교 한국군사문제연구소,국방/안보정책,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국방;군사;안보;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000060335&sereSearBean.sereId=SER000005941
한국국가안보·국민안전학회지 (Korean National Security and Public Safety Association),KCI 등재,한국국가안보·국민안전학회,국방/안보정책,연2회,0.71,발행논문 : 연간 10건,총 논문 : 109건,정책;국방;안보;안전,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000041641&sereSearBean.sereId=SER000004421
한국국방우주학회지 (Journal of korean space association for national defense),,한국국방우주학회,국방/안보정책,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,정책;국방;안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000074475&sereSearBean.sereId=SER000006419
국방과 보안 (Journal of Defense and Security),KCI 등재,국방보안연구소,국방정책론,연2회,0.1,발행논문 : 연간 26건,총 논문 : 128건,정책;국방,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000065819&sereSearBean.sereId=SER000005444
Journal of SIGG (Journal of SIGG),,숙명여자대학교 글로벌거버넌스연구소,국제관계/협력,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,거버넌스,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000058103&sereSearBean.sereId=SER000005705
글로벌사우스리뷰 (Review of Global South),,한국외국어대학교 글로벌사우스 포괄안보전략 연구센터,국제정치,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,안보;전략,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000080793&sereSearBean.sereId=SER000006817
한국군사학논집 (Korean Journal of Military Art and Science),KCI 등재,육군사관학교 화랑대연구소,군사이론,연3회,0.66,발행논문 : 연간 35건,총 논문 : 622건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000005755&sereSearBean.sereId=SER000001512
해양안보융합연구 (Maritime Security Studies & Fusion),,해군대학,군사전략술,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;안보;전략;군;해양안보,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008277&sereSearBean.sereId=SER000002194
軍事學 硏究(Military Science) (The Jounal of Military Science),,서경대학교 군사학연구소,군사학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000006845&sereSearBean.sereId=SER000005952
국방과학기술,,국방과학기술연구정보센터,군사학,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,국방;군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000008935&sereSearBean.sereId=SER000002775
군사발전연구 (Military Research and Development),KCI 등재,조선대학교 군사학연구소,군사학,연3회,0.28,발행논문 : 연간 17건,총 논문 : 100건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007502&sereSearBean.sereId=SER000002855
원광군사논단,,원광대학교 군사학연구소,군사학,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007532&sereSearBean.sereId=SER000003304
창끝전투 (Journal of Small Warfare Society),,(사)창끝전투학회,군사학,연4회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000077438&sereSearBean.sereId=SER000006638
한국군사학논총 (Review of Korean Military Studies),KCI 등재,미래군사학회,군사학,연4회,0.83,발행논문 : 연간 20건,총 논문 : 304건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000061176&sereSearBean.sereId=SER000004813
한국해군과학기술학회지 (Journal of the Korea Society for Naval Science and technology),KCI 등재,한국해군과학기술학회,군사학,연4회,0.57,발행논문 : 연간 71건,총 논문 : 357건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000064381&sereSearBean.sereId=SER000005924
합동군사연구 (Joint Forces Military Research),,합동군사대학교,군사학,연2회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000070305&sereSearBean.sereId=SER000005909
대한군진의학학술지 (The Journal of The Korean Military Medicine),KCI 후보,대한군진의학회,군진의학,연2회,0,발행논문 : 연간 14건,총 논문 : 27건,군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000074598&sereSearBean.sereId=SER000006429
모빌리티연구 (Mobility Research),KCI 등재,한국모빌리티학회,규제행정,연2회,0.44,발행논문 : 연간 9건,총 논문 : 51건,행정;규제,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000070012&sereSearBean.sereId=SER000006270
선진국방연구 (Journal of Advances in Military Studies),KCI 등재,광운대학교 방위사업연구소,기타군사학,연2회,0.49,발행논문 : 연간 12건,총 논문 : 111건,국방;군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000061692&sereSearBean.sereId=SER000005179
한국군사 (Korea Journal of Military Affairs),KCI 등재,(재)한국군사문제연구원,기타군사학,연2회,1,발행논문 : 연간 14건,총 논문 : 130건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000054293&sereSearBean.sereId=SER000004988
한국방위산업학회지 (Journal of the Korea Association of Defense Industry Studies),KCI 등재,한국방위산업학회,기타군사학,연3회,1.04,발행논문 : 연간 24건,총 논문 : 489건,국방;군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000007732&sereSearBean.sereId=SER000001543
한일군사문화연구 (Journal of Korean-Japanese Military and Culture),KCI 등재,한일군사문화학회,기타군사학,연3회,0.59,발행논문 : 연간 19건,총 논문 : 448건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000000654&sereSearBean.sereId=SER000009034
군사법연구,,사단법인 한국군사법학회,기타법학,연1회,0,발행논문 : 연간 0건,총 논문 : 0건,군사;군,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000072755&sereSearBean.sereId=SER000006879
범죄수사학연구,KCI 등재,경찰대학 범죄수사연구원,기타법학,연3회,1.28,발행논문 : 연간 19건,총 논문 : 174건,경찰,https://www.kci.go.kr/kciportal/ci/seriesSearch/ciSereInfoView.kci?sereSearBean.insiId=INS000063554&sereSearBean.sereId=SER000005144
